No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
48,"Get Active in Rotherham - Area Guides | White House Clinic","https://www.whitehouse-clinic.co.uk/area-guide/get-active-in-rotherham","https://www.ultraflexgym.co.uk/",26,20,8,"ultra flex gym","2023-11-10","2026-01-01"
49,"","https://www.linkedbd.com/search/flex-fit-gym","https://www.ultraflexgym.co.uk/",24,26,8,"","2022-11-06","2022-11-06"
50,"UltraFlex Normanton - Normanton","https://mappcouk.com/ultraflex-normanton-i1479179.html","https://ultraflexgym.co.uk/locations/gym-in-normanton/",24,25,3,"website","2024-10-12","2025-12-17"
51,"Things to do to get fit in York | Health and Fitness","https://www.staysyork.com/blog/how-keep-fit-and-stay-active-york","https://www.ultraflexgym.co.uk/",23,16,1,"ultraflex","2020-02-13","2022-12-03"
52,"","https://londinium.com/latlong/54.7793757/-1.5353018","https://ultraflexgym.co.uk/locations/gym-in-durham/",22,24,9,"https://ultraflexgym.co.uk/locations/gym-in-durham/","2023-02-06","2023-06-05"
53,"","https://ukposts.net/york-equipment-gym/","https://ultraflexgym.co.uk/locations/gym-in-york/",22,23,4,"go now","2022-02-21","2022-02-21"
54,"","https://www.myopeninghours.co.uk/Preston/address/Shelley+Road","https://www.ultraflexgym.co.uk/",21,26,28,"visit website","2020-06-17","2024-05-08"
55,"","https://dev-re-cart.crystalsoft.co/screw-gym-wear-normanton-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/Normanton-Gym-1024x627.jpg",21,24,2,"our equipment ultra flex gym","2024-06-22","2024-06-22"
56,"ultraflexgymleeds / Instagram / PandaRank","https://pandarank.com/instagram/ultraflexgymleeds/","https://www.ultraflexgym.co.uk/",21,22,10,"http://www.ultraflexgym.co.uk/","2018-08-06","2021-07-12"
57,"👲 Domain Report 👲","https://drjack.world/report/38581","https://www.ultraflexgym.co.uk/",20,25,5,"ultraflexgym.co.uk","2026-03-01","2026-03-01"
58,"UltraFlex Gym Virtual Tour - Scene3D - The UK's Virtual Tour Experts","https://scene3d.co.uk/portfolio/ultraflex-gym-virtual-tour/","https://www.ultraflexgym.co.uk/",20,24,3,"https://ultraflexgym.co.uk/","2021-08-23","2025-12-23"
59,"Achieving Your Fitness Goals: A Handy Guide - Girly Blogger","https://www.girlyblogger.com/health-hacks/achieving-your-fitness-goals-a-handy-guide/","https://ultraflexgym.co.uk/locations/gym-in-york/",19,30,17,"ultraflex gym in york","2021-05-25","2025-12-26"
60,"","https://jewjewjew.com/ultra-flex.kosher","https://www.ultraflexgym.co.uk/",19,24,21,"ultraflexgym.co.uk","2019-12-18","2020-08-09"
61,"websitescrawl.com | few of top websites | page no. 1977","https://www.websitescrawl.com/domain-list-1977","https://www.ultraflexgym.co.uk/",18,26,14,"ultraflexgym.co.uk","2023-11-10","2026-01-18"
62,"Reviews about UltraFlex Derby in Derby Chequers Rd","https://yably.co.uk/reviews/derby/ultraflex-derby-chequers-rd","https://www.ultraflexgym.co.uk/",18,24,11,"https://ultraflexgym.co.uk/","2025-12-26","2025-12-26"
63,"QuarterLinks- Dofollow Article Links just for 25 cents. – SIS GROUP","https://sisgroup.lk/quarterlinks-dofollow-article-links-just-for-25-3954/","https://www.ultraflexgym.co.uk/",18,20,15,"our telegram chanel https://t.me/s/quarterlinks25","2026-01-19","2026-01-19"
64,"","https://pdns.daloo.de/search.php?alike=0&q=178.128.38.148","https://www.ultraflexgym.co.uk/",16,20,9,"v","2019-05-25","2020-09-01"
65,"","https://www.epagesite.com/search/flex-it-uk","https://www.ultraflexgym.co.uk/",16,19,12,"","2018-10-02","2018-10-02"
66,"","https://datvietcorp.com/flex-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",16,17,19,"locations ultra flex gym","2024-03-03","2024-03-03"
67,"ᐈ UltraFlex - Gym in York - Gym in York, 10 Layerthorpe 🥇 Gyms.place","https://www.gyms.place/ultraflex---gym-in-york-york-10-layerthorpe/","https://ultraflexgym.co.uk/locations/gym-in-york/",16,15,null,"https://ultraflexgym.co.uk/locatio...","2023-05-08","2026-01-04"
68,"UltraFlex Clothing | Gym Clothes | Workout Wear","https://www.ultraflexclothing.com/","https://www.ultraflexgym.co.uk/",15,30,1,"uf gyms","2021-08-02","2022-08-16"
69,"
      Anth Bailes Open Ultra Flex Gym Durham
 – hardkoreklothing","https://hardkoreklothing.com/blogs/news/anth-bailes-open-ultra-flex-gym-durham","https://ultraflexgym.co.uk/locations/gym-in-durham/",15,17,4,"ultraflex","2024-06-30","2026-02-01"
70,"","https://appsonly.website/keyword-ranking/1633695/bodybuilding+gyms+durham","https://www.ultraflexgym.co.uk/",15,16,10,"ultra flex gym","2023-05-28","2024-01-19"
71,"","https://www.privatecompanyindex.com/flex-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",15,15,33,"locations ultra flex gym","2024-02-24","2024-02-24"
72,"","https://indicativecollection.ca/flex-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2020/11/UFG-64-1024x615-1.jpg",15,15,22,"price list ultra flex gym","2022-09-26","2022-09-26"
73,"
      Powered by Gymleco
 – Gymleco UK","https://www.gymleco.co.uk/pages/powered-by-gymleco","https://www.ultraflexgym.co.uk/",14,21,59,"ultraflex rotherham","2023-04-24","2025-09-21"
74,"","https://ambitionly.click/keyword-ranking/1871529/yorkshire+bodybuilding+2011","https://ultraflexgym.co.uk/locations/gym-in-leeds/personal-trainers/",13,21,13,"personal trainers ultra flex gym","2023-05-28","2024-02-08"
75,"✅ Website Stats 📊","https://blogsphere.top/stats/38580","https://www.ultraflexgym.co.uk/",13,16,14,"ultraflexgym.co.uk","2026-02-23","2026-02-23"
76,"Sophie patlama hariç tutma personal trainer york heyecanlandırmak İzin vermek İşbirliği","https://altavistainc.com/personal-trainer-york-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/11/PT-york.jpg",13,16,18,"personal trainers york ultra flex gym","2023-08-31","2023-08-31"
77,"","https://www.homemakingandhorticulture.co.uk/2021/03/how-well-do-you-know-your-gym.html","https://ultraflexgym.co.uk/locations/gym-in-york/",13,16,7,"gym in york","2021-08-01","2026-02-01"
78,"","https://sudopix.com/p/no-flex-area.html","https://ultraflexgym.co.uk/locations/leeds/gym-facilities/",12,17,39,"source","2020-03-07","2020-03-07"
79,"","https://demo2.akhlakul.com/for-sale-near-me.html","https://ultraflexgym.co.uk/locations/",12,16,null,"more @ ultraflexgym.co.uk","2020-03-03","2020-03-03"
80,"","https://www.lythomlaw.com/flex-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",12,15,30,"locations ultra flex gym","2022-06-15","2022-06-15"
81,"Ultra gym best sale","https://knightflowermartialarts.com/?k=199327315","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",12,14,60,"ultra gym best sale","2025-02-25","2025-02-25"
82,"","https://gymist.co.uk/gyms/ultraflex-hull/","https://ultraflexgym.co.uk/locations/hull/",12,13,24,"https://ultraflexgym.co.uk/locations/hull/","2021-10-14","2024-11-30"
83,"UltraFlex - Gym in Rotherham Rotherham - Ratings Plus","https://ratingsplus.co.uk/city/rotherham/gyms/ultraflex-gym-in-rotherham","https://www.ultraflexgym.co.uk/",11,21,4,"visit website","2024-08-01","2026-02-18"
84,"Ultra Flex Durham | Gyms Near Me","https://findgyms.co.uk/directory/ultra-flex-durham/","https://ultraflexgym.co.uk/locations/gym-in-durham/",11,20,15,"https://ultraflexgym.co.uk/locations/durham/","2026-01-18","2026-01-18"
85,"Best Gyms In York - York - Best Local Rated","https://york.bestlocalrated.co.uk/best-gyms-in-york/","https://www.ultraflexgym.co.uk/",11,18,1,"www.ultraflexgym.co.uk","2023-01-27","2026-01-13"
86,"","https://audience.pics/keyword-ranking/2012490/bodybuilding+shop+hull","https://ultraflexgym.co.uk/locations/gym-in-hull/",11,16,16,"ultraflex gym hull","2023-10-10","2024-01-23"
87,"Bodybuilding Shop Hull | Keyword Rankings","https://abeautiful.site/keyword-ranking/2012490/bodybuilding+shop+hull","https://ultraflexgym.co.uk/locations/gym-in-hull/",11,15,22,"ultraflex gym hull","2023-05-18","2023-10-16"
88,"Ultra Flex Gym  - North Leeds: Läs recensioner och boka pass på ClassPass","https://classpass.se/studios/ultra-flex-gym--north-leeds","https://ultraflexgym.co.uk/locations/north-leeds/",11,15,6,"ultraflexgym.co.uk","2025-01-28","2025-11-09"
89,"Visive border tube lighting on UltraFlex Gyms.","https://www.visivegroup.com/projects/view/red-hi-lite30-selected-for-ultraflex-gyms/","https://www.ultraflexgym.co.uk/",11,15,1,"ultraflex gyms","2024-05-16","2025-12-23"
90,"metroflex gym membership cost","https://serrurier-daniel.fr/hkc5ivy/metroflex-gym-membership-cost.html","https://www.ultraflexgym.co.uk/",10,17,21,"ultra flex gym ultra flex gym","2024-04-19","2026-01-13"
91,"","https://acompany.store/keyword-ranking/2012490/bodybuilding+shop+hull","https://ultraflexgym.co.uk/locations/gym-in-hull/",10,16,43,"ultraflex gym hull","2023-06-08","2024-02-15"
92,"","https://announcements.shop/keyword-ranking/1738834/bodybuilding+after+quitting+smoking","https://ultraflexgym.co.uk/locations/gym-in-leeds/personal-trainers/",10,16,12,"personal trainers ultra flex gym","2023-07-17","2024-02-10"
93,"","https://accurate.homes/keyword-ranking/1738834/bodybuilding+after+quitting+smoking","https://ultraflexgym.co.uk/locations/gym-in-leeds/personal-trainers/",10,16,11,"personal trainers ultra flex gym","2023-10-27","2024-02-10"
94,"Gyms in Leeds - Your Local Guide | Manning Stainton","https://staging.manningstaintonpx.co.uk/leeds/gyms-in-leeds","https://www.ultraflexgym.co.uk/",10,15,38,"ultraflex","2020-03-16","2022-07-30"
95,"","https://damacjuristas.es/ultraflex-clothing-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/t-shirt9-300x300.png",10,11,20,"ultraflex store ultra flex gym","2024-07-05","2024-07-05"
96,"Ultra Flex - UK Map Guide","https://www.ukmapguide.co.uk/listing/ultra-flex/","https://ultraflexgym.co.uk/locations/gym-in-york/",9,24,5,"visit website","2021-08-05","2026-01-22"
97,"You searched for Locations Near Me - Bisnis Shannen","https://shippa1011.peluangbisnisshannen.com/locations-near-me.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",8,21,8,"locations ultra flex gym","2020-03-31","2020-03-31"
98,"","https://www.gymnearyou.net/listing/ultraflex-gym-in-leeds/","https://ultraflexgym.co.uk/locations/gym-in-leeds/",8,20,3,"https://ultraflexgym.co.uk/locations/gym-in-leeds/","2022-07-06","2022-07-06"
99,"✅ Website Stats 📊","https://dailymusings.top/stats/38580","https://www.ultraflexgym.co.uk/",8,16,7,"ultraflexgym.co.uk","2026-02-23","2026-02-23"
100,"","https://artiste.cfd/keyword-ranking/1871529/yorkshire+bodybuilding+2011","https://ultraflexgym.co.uk/locations/gym-in-leeds/personal-trainers/",8,16,48,"personal trainers ultra flex gym","2023-05-19","2023-05-19"
101,"✅ Website Stats 📊","https://creativeposts.top/stats/38581","https://www.ultraflexgym.co.uk/",8,16,6,"ultraflexgym.co.uk","2026-01-08","2026-01-08"
102,"","https://www.yourgymclub.co.uk/listings/ultraflex-gym-in-durham/","https://ultraflexgym.co.uk/locations/gym-in-durham/",8,14,13,"","2023-01-19","2024-08-02"
103,"UltraFlex Normanton Normanton | GymPal","https://askgympal.co.uk/business/ultraflex-normanton","https://ultraflexgym.co.uk/locations/gym-in-normanton/",8,10,null,"ultraflexgym.co.uk/locations/gym-in-normanton","2025-12-08","2025-12-08"
104,"❤️ URL Shared ❤️","https://anchorurl.cloud/share/38581","https://www.ultraflexgym.co.uk/",7,22,6,"ultraflexgym.co.uk","2026-01-23","2026-01-26"
105,"👲 Domain Report 👲","https://byteshort.xyz/report/790747","https://www.ultraflexgym.co.uk/",7,21,4,"ultraflexgym.co.uk","2025-03-28","2025-03-28"
106,"Flexible Gym Membership Near Me","https://www.best-near-me.com/flexible-gym-membership/","https://ultraflexgym.co.uk/locations/gym-in-york/",7,20,47,"go now","2022-03-31","2022-03-31"
107,"","https://myscape.org/personal-trainer-york-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/11/PT-york.jpg",7,13,82,"personal trainers york ultra flex gym","2024-05-08","2024-08-23"
108,"Content Team – The Fitness Group","https://getting-fit.net/index-285.html","https://ultraflexgym.co.uk/locations/gym-in-leeds/",7,12,11,"ultraflex gym leeds","2025-06-30","2025-12-27"
109,"","https://www.alla-gym.se/pudsey/ultra-flex-gym-leeds.ChIJldvlVADie0gR7Z8S-EiqObY","https://www.ultraflexgym.co.uk/",7,12,null,"mer information","2018-01-14","2018-01-14"
110,"❤️ URL Shared ❤️","https://buzzshrink.website/share/38581","https://www.ultraflexgym.co.uk/",6,21,14,"ultraflexgym.co.uk","2025-12-29","2025-12-29"
111,"","https://amply.store/keyword-ranking/1738834/bodybuilding+after+quitting+smoking","https://ultraflexgym.co.uk/locations/gym-in-leeds/personal-trainers/",6,18,61,"personal trainers ultra flex gym","2023-08-05","2024-02-09"
112,"7 Best Gyms in Durham UK - Fitdew","https://fitdew.com/gyms-in-durham-uk/","https://ultraflexgym.co.uk/locations/gym-in-durham/",6,11,6,"at ultraflex","2023-10-06","2026-01-09"
113,"
      UltraFlex Open Bodybuilding Championship
","https://ultraflexopen.com/","https://www.ultraflexgym.co.uk/",5,15,4,"","2025-09-22","2025-12-27"
114,"","https://monsieuryoussef.com/personal-trainer-durham-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2020/09/Matt-Davies.jpg",5,14,61,"personal trainers durham ultra flex gym","2023-08-31","2023-08-31"
115,"Gym Near Me – My Blog","https://dojo.megabaja.pw/wp/2016/01/01/gym-near-me/","https://ultraflexgym.co.uk/locations/",5,13,82,"more like this","2020-03-01","2020-09-12"
116,"Járókelő rugalmas megvesz flex gym énekes Ismertesse füst","https://stasmotyrev.ru/flex-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",4,16,10,"locations ultra flex gym","2024-02-29","2024-02-29"
117,"James Brady | OriGym","https://mumsthewordonline.com/index-231.html","https://ultraflexgym.co.uk/locations/gym-in-leeds/",4,12,1,"ultraflexgym.co.uk/locations/gym-in-leeds","2025-04-20","2025-04-20"
118,"Ultra gym deals","https://shreefurniture.co.in/?s=199327315","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UFG-64-1024x615.jpg",4,11,1,"ultra gym deals","2025-05-06","2025-05-06"
119,"Weightlifting trainer near me cheap","https://amelieflowerdesigns.com/?a=286902422","https://ultraflexgym.co.uk/wp-content/uploads/2023/01/Lou-personal-trainer-UltraFlex.jpg",4,9,11,"personal trainers ultra flex gym","2025-05-01","2025-11-09"
120,"Weightlifting trainer near me store","https://sribalajipolytech.com/?s=286902422","https://ultraflexgym.co.uk/wp-content/uploads/2023/01/Lou-personal-trainer-UltraFlex.jpg",4,9,45,"personal trainers ultra flex gym","2025-06-11","2025-06-11"
121,"te Rent varm flex gym prices Visare försvinna Uppblött","https://www.o-creativeagency.com/flex-gym-prices-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2022/09/WhatsApp-Image-2022-08-23-at-12.37.29-PM.jpeg",4,7,55,"student gym membership york ultra flex gym","2024-06-17","2024-06-17"
122,"UltraFlex Gym Leeds — West Yorkshire — United Kingdom","https://dojoatlas.com/united-kingdom/west-yorkshire/leeds/ultraflex-gym-in-leeds","https://ultraflexgym.co.uk/locations/gym-in-leeds/",4,6,null,"","2025-12-18","2025-12-18"
123,"","https://charity-accountants.com/trainers-gym-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2023/01/Lou-personal-trainer-UltraFlex.jpg",4,5,43,"personal trainers ultra flex gym","2023-12-16","2023-12-16"
124,"Ultra Flex Gym: Normanton","https://gymselectme.com/ultra-flex-gym-normanton?page=9","https://ultraflexgym.co.uk/locations/normanton/",3,10,1,"more information","2025-03-04","2026-01-23"
125,"Ultra Flex – Mardon Family Office","https://m-fo.co.uk/ultra-flex/","https://www.ultraflexgym.co.uk/",3,9,15,"visit website","2023-10-27","2025-12-26"
126,"","https://ukgymmap.com/gyms/lancashire/preston/","https://www.ultraflexgym.co.uk/",3,4,37,"ultraflexgym.co.uk","2018-08-11","2018-11-11"
127,"","https://ultraflexgym.kluczynski.eu/","https://www.ultraflexgym.co.uk/",2,9,33,"","2022-06-04","2025-12-22"
128,"Ultra Flex Gym Leeds @ Cape Mills Coal Hill Lane - Leeds, LS285NA - Places to go in the UK Leeds, England","https://www.placestogoinuk.com/Leeds_EUK/places/16085529-Ultra-Flex-Gym-Leeds/","https://www.ultraflexgym.co.uk/",2,9,9,"website","2017-12-11","2017-12-11"
129,"Live Blog – BPU Rotherham Qualifier 2022 – Powerlift Media","https://powerliftmedia.co.uk/2022/02/live-blog-bpu-rotherham-qualifier/","https://ultraflexgym.co.uk/locations/gym-in-rotherham/",2,4,8,"ultraflex gym","2022-02-11","2025-03-23"
130,"Bodybuilding Gyms Near Me – Health & Fitness Lifestyles","https://www.fi38.com/bodybuilding-gyms-near-me/","https://www.ultraflexgym.co.uk/",1,22,17,"ultraflex","2022-03-07","2025-12-29"
131,"UltraFlex - Gym in Durham","https://gymsuk.click/ultraflex-gym-in-durham/","https://ultraflexgym.co.uk/locations/gym-in-durham/",1,11,null,"read reviews","2025-04-25","2025-04-25"
132,"Top Gyms in slough - GymReviewers.co.uk","https://www.gymreviewers.co.uk/slough","https://www.ultraflexgym.co.uk/",1,10,null,"book direct now","2025-11-15","2026-02-17"
133,"Erobern Dynastie maximieren gyms in hull Feld Unterscheiden Werkzeug","https://www.kuglagelatiperfetti.rs/gyms-in-hull-k.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/03/UF-Nor-1024x633.jpg",1,8,3,"price list ultra flex gym","2023-04-19","2023-04-19"
134,"South Normanton – Find Gyms","https://www.localfitnesscenter.com/south-normanton","https://ultraflexgym.co.uk/locations/gym-in-normanton/",1,5,2,"read more","2025-02-23","2025-05-27"
135,"","https://taniepozyczkimalbork.blogspot.com/2022/05/bodybuilding-weight-classes-uk.html","https://ultraflexgym.co.uk/wp-content/uploads/2019/10/Image-1.jpg",1,3,5,"","2022-06-17","2023-11-13"
